Summary,Issue key,Issue id,Issue Type,Project key,Project name,Creator,Created,Updated,Description,Priority,Status,Labels
Redesign Pilot section (Section 5) of checklist,PQRH-1,1,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,Improve layout/style of the 2-option Pilot section in the checklist. Migrated from EsencIA ESE-33 on 2026-07-07.,High,Todo,"Phase 1: Quick Wins, Improvement"
Passenger-carrying currency: convert to day/night checkboxes,PQRH-2,2,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,"Replace with two acknowledgment checkboxes for 3 takeoffs/landings in 90 days: one for day, one for night. This should be acknowledgment style, not a date field. Migrated from EsencIA ESE-34 on 2026-07-07.",High,Todo,"Phase 1: Quick Wins, Feature"
IFR currency: IPC date field + 6-6-6 checkbox,PQRH-3,3,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,IPC stays a date field. Add a separate checkbox acknowledgment for the 6 approaches/6 hours/holds currency rule instead of tracking each approach individually. Migrated from EsencIA ESE-35 on 2026-07-07.,High,Todo,"Phase 1: Quick Wins, Feature"
"Rename ""Flight Plan Filed"" to ""Flight Plan / Itinerary Filed""",PQRH-4,4,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,Simple label change. Keep as a check item for now. Migrated from EsencIA ESE-36 on 2026-07-07.,High,Todo,"Phase 1: Quick Wins, Improvement"
"Replace CARROW with ""Aircraft Documents Onboard""",PQRH-5,5,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,Checkbox plus dropdown of required documents. Insurance should be called out separately as optional for privately registered aircraft rather than part of the acronym. Migrated from EsencIA ESE-37 on 2026-07-07.,High,Todo,"Phase 1: Quick Wins, Feature"
Remove IMSAFE from Currency section,PQRH-6,6,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,IMSAFE moves out of Currency entirely. It belongs only in the Flight Plan Checklist. Migrated from EsencIA ESE-38 on 2026-07-07.,High,Done,"Phase 1: Quick Wins, Improvement"
Add IMSAFE + Aircraft Documents Onboard to Flight Plan Checklist,PQRH-7,7,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,Both are per-flight quick checks. Add them to the Flight Plan Checklist alongside other per-flight items. Migrated from EsencIA ESE-39 on 2026-07-07.,High,Todo,"Phase 1: Quick Wins, Feature"
Make checklist checkmarks interactive,PQRH-8,8,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,"Checkmarks should be tappable to toggle complete/incomplete, not static. Migrated from EsencIA ESE-40 on 2026-07-07.",High,Todo,"Phase 1: Quick Wins, Feature"
Add unit toggle support app-wide,PQRH-9,9,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,"Support ft/m, NM/km, gal/liters, lbs/kg wherever units appear in the app. Migrated from EsencIA ESE-41 on 2026-07-07.",High,Done,"Phase 1: Quick Wins, Feature"
Prefill Hobbs input with previous Hobbs time,PQRH-10,10,Task,CNA,PQRH App,Diego Olivares,2026-07-07 12:00:00,2026-07-07 12:00:00,Hobbs meter input field should default/placeholder to the last logged Hobbs time. Hobbs is a global counter used across hour-based maintenance/currency items. The pilot should be able to plug in the current Hobbs and have the app flag due items automatically. Implementation is started; remaining work is visual polish and UX quality. Migrated from EsencIA ESE-42 on 2026-07-07.,Urgent,In Progress,"Phase 1: Quick Wins, Feature"
