Title,Description,Status,Priority,Labels,Project
"Redesign Pilot section (Section 5) of checklist","Improve layout/style of the 2-option Pilot section in the checklist. Migrated from EsencIA ESE-33 on 2026-07-07.","Todo","High","Phase 1: Quick Wins, Improvement","PQRH App"
"Passenger-carrying currency: convert to day/night checkboxes","Replace with two acknowledgment checkboxes for 3 takeoffs/landings in 90 days: one for day, one for night. This should be acknowledgment style, not a date field. Migrated from EsencIA ESE-34 on 2026-07-07.","Todo","High","Phase 1: Quick Wins, Feature","PQRH App"
"IFR currency: IPC date field + 6-6-6 checkbox","IPC stays a date field. Add a separate checkbox acknowledgment for the 6 approaches/6 hours/holds currency rule instead of tracking each approach individually. Migrated from EsencIA ESE-35 on 2026-07-07.","Todo","High","Phase 1: Quick Wins, Feature","PQRH App"
"Rename ""Flight Plan Filed"" to ""Flight Plan / Itinerary Filed""","Simple label change. Keep as a check item for now. Migrated from EsencIA ESE-36 on 2026-07-07.","Todo","High","Phase 1: Quick Wins, Improvement","PQRH App"
"Replace CARROW with ""Aircraft Documents Onboard""","Checkbox plus dropdown of required documents. Insurance should be called out separately as optional for privately registered aircraft rather than part of the acronym. Migrated from EsencIA ESE-37 on 2026-07-07.","Todo","High","Phase 1: Quick Wins, Feature","PQRH App"
"Remove IMSAFE from Currency section","IMSAFE moves out of Currency entirely. It belongs only in the Flight Plan Checklist. Migrated from EsencIA ESE-38 on 2026-07-07.","Done","High","Phase 1: Quick Wins, Improvement","PQRH App"
"Add IMSAFE + Aircraft Documents Onboard to Flight Plan Checklist","Both are per-flight quick checks. Add them to the Flight Plan Checklist alongside other per-flight items. Migrated from EsencIA ESE-39 on 2026-07-07.","Todo","High","Phase 1: Quick Wins, Feature","PQRH App"
"Make checklist checkmarks interactive","Checkmarks should be tappable to toggle complete/incomplete, not static. Migrated from EsencIA ESE-40 on 2026-07-07.","Todo","High","Phase 1: Quick Wins, Feature","PQRH App"
"Add unit toggle support app-wide","Support ft/m, NM/km, gal/liters, lbs/kg wherever units appear in the app. Migrated from EsencIA ESE-41 on 2026-07-07.","Done","High","Phase 1: Quick Wins, Feature","PQRH App"
"Prefill Hobbs input with previous Hobbs time","Hobbs meter input field should default/placeholder to the last logged Hobbs time. Hobbs is a global counter used across hour-based maintenance/currency items. The pilot should be able to plug in the current Hobbs and have the app flag due items automatically. Implementation is started; remaining work is visual polish and UX quality. Migrated from EsencIA ESE-42 on 2026-07-07.","In Progress","Urgent","Phase 1: Quick Wins, Feature","PQRH App"
"Add Total Time input to Inspections","Pilot enters current aircraft total time; app compares against fixed inspection due dates/times and reports which inspections are current, which are due soon, and hours/days remaining to each. Migrated from EsencIA ESE-43 on 2026-07-07.","Todo","High","Phase 1: Quick Wins, Feature","PQRH App"
"Add aviation quotes ticker to home screen","Rotating/fading quote bar near the bottom of the front page. Include the provided aviation quotes list from the backlog appendix. Migrated from EsencIA ESE-44 on 2026-07-07.","Todo","Medium","Phase 1: Quick Wins, Feature","PQRH App"
"Pilot profile setup (name, phone, email) with autofill","First name, last name, phone, and email stored and auto-filled into flight planning. Migrated from EsencIA ESE-45 on 2026-07-07.","Backlog","Medium","Phase 2: Foundational, Feature","PQRH App"
"Fuel calculator: bidirectional Jet-A conversion (gal/lbs/kg/liters)","Place as the second calculator option right under CX-3. Also embed the same calculator inside Weight & Balance. Migrated from EsencIA ESE-46 on 2026-07-07.","Backlog","High","Phase 2: Foundational, Feature","PQRH App"
"Placeholder aircraft image + ""describe to AI"" editor","Generic symbol for aircraft with no photo, deliberately not shaped like any real aircraft, plus a describe-your-aircraft-to-AI editor option. 3D-model-from-photos is a stretch goal, not near-term. Migrated from EsencIA ESE-47 on 2026-07-07.","Backlog","Medium","Phase 2: Foundational, Feature","PQRH App"
